File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMGeneratorCRUDDefinition.java,386,220,171,20,39,0,127,706,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMGoogleMap.java,665,437,347,37,81,2,147,397,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMGoogleMarker.java,44,38,32,0,6,0,0,0,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMGridDefinition.java,809,566,496,50,55,0,188,660,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMHtmlUtils.java,692,503,423,61,60,0,129,688,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMImage.java,538,347,276,39,42,2,149,450,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMImageSlider.java,680,501,401,67,58,0,121,290,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMInput.java,1596,1079,848,184,129,1,388,1876,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMItemList.java,330,241,175,50,31,8,58,174,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMLabel.java,1298,984,801,145,118,8,196,966,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMList.java,499,366,283,59,50,2,83,359,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMMHead.java,281,198,145,27,42,0,41,107,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMMMenu.java,747,561,418,62,97,0,89,223,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMModalSheet.java,454,388,288,109,40,2,26,109,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMNavigationBar.java,2662,1792,1324,396,207,7,663,3389,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMObject.java,30,21,16,1,9,0,0,0,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMPage.java,13738,11241,9703,1369,1192,58,1305,6221,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMPagination.java,450,353,278,48,32,2,65,239,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMParallax.java,255,173,137,13,33,0,49,112,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMPatternLock.java,238,184,134,23,26,0,28,68,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMPDFViewer.java,292,205,151,26,30,0,57,4270,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMPercentSlider.java,328,241,183,28,38,0,49,160,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMPivotTable.java,632,525,419,67,54,2,53,181,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMPlanner.java,1045,780,609,127,91,0,174,652,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMPlannerTask.java,123,103,83,8,20,0,0,0,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMPlatform.java,21,17,15,0,3,0,1,3,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMPoint.java,24,12,8,0,5,0,7,7,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMRadioGroup.java,625,401,311,56,62,0,162,434,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMRange.java,561,382,301,62,60,8,119,440,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMReport.java,274,167,126,18,32,1,75,240,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMReportBlock.java,301,174,136,31,26,0,101,268,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMRow.java,1159,726,551,129,111,10,322,1305,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMRowCell.java,25,16,11,0,6,0,3,3,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMSideBar.java,825,609,460,114,67,0,149,857,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMSignaturePad.java,232,163,123,13,26,0,43,136,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMSlider.java,450,320,249,52,53,8,77,272,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMSmartWizard.java,572,412,315,64,50,21,110,440,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMSocialOAuth.java,222,152,108,12,29,0,41,138,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMSocialShare.java,297,227,166,28,36,0,34,70,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMSVGAnimation.java,78,61,51,9,8,0,9,13,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMSVGElement.java,364,248,194,34,36,1,80,264,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMSVGSurface.java,718,511,389,85,72,0,135,882,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMSwitch.java,552,413,325,56,60,0,79,254,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMTable.java,1826,1359,1058,251,138,4,329,1507,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMTableCell.java,23,16,12,0,4,0,3,3,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMTableInfinite.java,2429,1842,1416,355,199,0,388,1544,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMTableMutable.java,1836,1475,1163,265,125,2,236,675,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMTabs.java,861,642,490,105,70,1,149,1119,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMTheme.java,833,738,541,142,52,0,43,152,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMTimeLine.java,620,504,400,77,48,0,68,162,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMTimeLineDate.java,74,64,50,17,7,0,3,3,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMTimeLineEra.java,51,41,32,7,7,0,3,3,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMTimeLineLocation.java,57,47,38,5,7,0,3,3,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMTimeLineMedia.java,49,39,30,7,7,0,3,3,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMTimeLineSlide.java,123,110,86,26,10,0,3,3,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMTimeLineText.java,47,37,27,6,7,1,3,5,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMTreeTable.java,1203,944,734,170,103,7,156,475,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMTreeTableCell.java,210,161,137,15,19,0,30,60,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMTreeTableRow.java,175,141,113,21,23,0,11,38,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMUpload.java,269,208,166,18,26,1,35,305,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ABMVideo.java,437,378,272,71,41,2,18,63,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\B4JSVariable.java,85,72,59,7,8,0,5,48,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\Entity.java,22,19,12,4,3,0,0,0,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ExtractLine.java,17,11,9,0,6,0,0,0,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ExtractResult.java,49,40,38,0,8,0,1,3,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ExtractResultMethod.java,40,25,21,0,14,0,1,3,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ExtractResultModule.java,1356,1105,862,219,105,4,146,574,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ExtractVariable.java,124,115,70,22,7,0,2,6,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\GeneratorDateTimePicker.java,24,16,14,0,3,0,5,30,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\GeneratorDateTimeScroller.java,38,30,28,0,3,0,5,30,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\GoogleTranslate.java,120,81,63,12,28,0,11,58,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\GoogleTranslateAPI.java,147,88,68,10,21,2,38,188,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\GoogleTranslateAPIException.java,22,12,8,0,7,0,3,6,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\HandlerClass.java,17,12,9,1,5,0,0,0,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\iOSApp.java,31,20,17,0,8,0,3,20,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\LayoutDef.java,12,8,6,0,4,0,0,0,0,0
