Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,198,105074,78466,63011,11665,9222,717,17386,77447,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab,198,105074,78466,63011,11665,9222,717,17386,77447,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial,191,96257,71293,57169,10277,8750,429,16214,71711,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\b4js,7,8817,7173,5842,1388,472,288,1172,5736,0,0
